ID,Recipient,Amount,Currency
2070,Travis Miller,3258.31,MXN
2071,Andrea Rodriguez,2645.54,SEK
2072,James Durham,7460.05,NZD
2073,Joshua Pacheco,9252.58,MXN
2074,Amy Thompson,3538.61,CHF
2075,Deanna Gonzalez,2337.87,CHF
2076,James Green,4931.48,ILS
2077,Dana Henderson,8723.69,ILS
2078,Sara Hamilton,9911.55,GBP
2079,Darrell Thompson,9704.9,ILS
2080,Jordan Brown,4377.02,SEK
2081,Mary Barton,9909.74,CHF
2082,Cynthia White DVM,8008.29,PLN
2083,Mackenzie James,792.26,JPY
2084,Paul Jenkins,8309.77,BRL
2085,Laura Rodriguez,5814.22,EUR
2086,Claire Moody,5031.77,PLN
2087,Richard Miller,7167.85,ILS
2088,Cynthia Hansen,1733.83,HKD
2089,Katie Hughes,4202.14,EUR
2090,Eric Montoya,9050.96,BRL
2091,Sharon Gomez,8041.48,EUR
2092,Scott Matthews,3471.57,KRW
2093,Matthew Anderson,6303.64,AUD
2094,Michelle Reyes,7041.83,JPY
2095,Jose Smith,8372.63,GBP
2096,Shane Jones,2395.46,AUD
2097,James Morales,809.4,PLN
2098,Betty Beasley DDS,144.31,MXN
2099,Tanya Wilson,6036.4,EUR
2100,Philip Russell,3233.07,NOK
2101,Christie Mitchell,5634.84,JPY
2102,Amy Davis,8022.02,BRL
2103,Sheila Johnson MD,6917.07,USD
2104,Kelly Robinson,3565.01,NOK
2105,Kelly Wallace,314.94,ILS
2106,Ryan Jones,9764.35,USD
2107,Lori Butler,3684.59,KRW
2108,Ashley Mitchell,9348.02,NOK
2109,John Smith,4618.24,ZAR
2110,Richard Beck,539.9,NZD
2111,Steven Walker,1944.14,ZAR
2112,Christina Miller,3089.41,DKK
2113,Gloria Levy,2265.15,SEK
2114,Philip Ramos,7825.75,PLN
2115,Alicia Pruitt PhD,686.73,HKD
2116,Michael Murray,9839.4,CAD
2117,Brandon Charles,6593.51,ZAR
2118,Edward Rivera,2770.82,CHF
2119,Alyssa Padilla,2688.05,GBP
2120,Sean Nelson,5899.4,NOK
2121,Jason Taylor,480.79,SEK
2122,Wayne Garcia,5250.91,BRL
2123,Jennifer Hale,8095.89,USD
2124,Brian Dixon,7628.63,BRL
2125,Pamela Gillespie,8538.77,CAD
2126,Michelle Olson,3701.82,CHF
2127,Katherine Ballard,2825.82,MXN
2128,Matthew Meyer,9473.89,DKK
2129,Jose Glenn,5002.62,DKK
2130,Donald Watson,1822.19,SGD
2131,Nicholas Sparks,1130.12,JPY
2132,Angel Hahn,4031.94,JPY
2133,Antonio Powell,2987.11,USD
2134,Whitney Cooper,1874.37,ZAR
2135,Jordan Watson,3864.57,SEK
2136,Angela Duran,9610.41,BRL
2137,Cynthia Miller,4763.16,HKD
2138,Brendan Singh,2730.33,PLN
2139,Ernest Washington,927.07,EUR
2140,Jeremy Johnson,4541.27,HKD
2141,Benjamin Wade,2759.99,NOK
2142,George Andrews,4106.78,CAD
2143,Bryan Li,5733.83,PLN
2144,Sylvia Jones,6887.6,USD
2145,Elizabeth Patel,5904.72,AUD
2146,David Peters,9562.05,INR
2147,Mario Brown,1903.46,NOK
2148,Robert Cole,5905.42,KRW
2149,Brian Walters,412.88,SEK
2150,Alexis Miller,8516.65,EUR
2151,Andrew Cervantes,8762.25,ZAR
2152,Andrew Ali,8004.52,HKD
2153,Sherry Baker,3905.94,MXN
2154,Veronica Kidd,3754.81,NOK
2155,Jasmine Jacobs,5591.43,GBP
2156,Kenneth Lopez,3170.78,USD
2157,Brianna Hendricks,3267.33,BRL
2158,Jessica Schmidt,9636.31,PLN
2159,Pamela Evans,8349.08,SGD
2160,Craig Fowler,1318.35,HKD
2161,Cindy Morgan,6524.57,JPY
2162,Craig Wong,4043.93,BRL
2163,Keith Mckinney,8919.31,KRW
2164,Mary Lamb,7558.68,BRL
2165,Molly Moyer,8264.71,INR
2166,Travis Thompson,6525.89,MXN
2167,Ashley Smith,4985.24,MXN
2168,Katherine Rowe,7200.92,KRW
2169,Mercedes Sandoval,8929.6,KRW
2170,Donna Perez,3329.32,EUR
2171,Allison Aguirre,678.4,SGD
2172,Kayla Fry,6843.41,HKD
2173,Loretta Bowen,8629.24,CAD
2174,Kathryn Grant,5318.76,SEK
2175,Samantha Jackson,901.14,NOK
2176,Suzanne Collins,1205.21,JPY
2177,Angel Thomas DDS,2031.4,NZD
2178,Walter Smith,4387.94,NZD
2179,Sarah Jones,4629.93,HKD
2180,Rachel Jackson,4052.23,ZAR
2181,Ebony Torres,9436.79,JPY
2182,Joseph Price,139.89,INR
2183,Steven Dalton,5419.47,ILS
2184,Andrew Chandler MD,3691.44,AUD
2185,Beth Ingram,9318.23,MXN
2186,Tina Harris,2193.68,BRL
2187,John Brown,3520.0,BRL
2188,Louis Hall,2661.8,NZD
2189,Elizabeth Sosa,260.73,SGD
2190,David Davenport,5684.09,ZAR
2191,James Stanley,7874.3,GBP
2192,Andrew Smith,3831.37,JPY
2193,Diana Webb,1526.86,NZD
2194,Jason Alvarez,3812.32,CHF
2195,David Mcdonald,5686.4,KRW
2196,Jim Becker,2738.61,ZAR
2197,Lauren Perez,8094.13,JPY
2198,Nicholas Dominguez,9752.01,KRW
2199,Paula Harper,789.95,CAD
2200,Madeline Fernandez,3529.14,CAD
2201,Ann Watson,6902.47,AUD
2202,Mr. Timothy Smith MD,9857.37,EUR
2203,Ann Merritt,3837.56,MXN
2204,Jane Williams,9016.45,JPY
2205,Cheryl Fields,7611.33,ZAR
2206,Susan Medina,4398.38,EUR
2207,William Moreno,7413.42,ILS
2208,Melissa Waller,8683.94,EUR
2209,Daniel Perry,6081.27,BRL
2210,Karina Mills,4510.59,CHF
2211,Jerry Mendoza,1957.92,NZD
2212,Holly Bennett,5529.88,HKD
2213,Michele Ramos,2641.74,SEK
2214,Paula Bryan,3897.68,MXN
2215,Caroline Baker DDS,8039.2,KRW
2216,Stacy Shaw,9691.84,NZD
2217,Karen Carr,7798.54,AUD
2218,Christopher Olsen,8787.02,SGD
2219,Monica Rivera,6157.67,EUR
2220,Kristen Wright,9663.03,BRL
2221,Victoria Morrison,9944.38,JPY
2222,Gabriel Oliver,8800.35,ILS
2223,Kara Manning,6362.76,MXN
2224,Andrew White,883.64,SEK
2225,Jean Jones,4323.11,KRW
2226,Tammy Costa,768.95,SGD
2227,Eric Grant,9215.52,BRL
2228,Heather Mills,7838.0,NOK
2229,Megan Haynes,239.53,HKD
2230,Tracy Smith,9629.06,CHF
2231,Darrell Smith,4590.94,CAD
2232,Antonio Taylor,7545.88,PLN
2233,Paul Campbell,4291.18,EUR
2234,David Boyd,2400.05,JPY
2235,James Clark,1424.26,KRW
2236,Nicole Brown,2928.26,CAD
2237,Benjamin Roberts,3806.41,CAD
2238,Randall Turner,5250.37,AUD
2239,Don Mckinney,8854.8,ILS
2240,Nancy White,6161.22,HKD
2241,Philip Lewis,1289.75,USD
2242,Phillip Shaw,2330.42,CHF
2243,Robert Nixon,9575.81,MXN
2244,Bryan Hart,6756.44,USD
2245,Zachary Harvey,272.25,MXN
2246,Shane Murphy,3468.9,MXN
2247,Travis White,5244.88,AUD
2248,Brianna Willis,5582.67,NZD
2249,Dennis Stout,2876.96,INR
2250,Jordan Kelly,4312.66,SEK
2251,Nathan Walker,6750.36,DKK
2252,James Fisher,1654.18,PLN
2253,Brian Yang,3575.81,BRL
2254,Holly Hobbs,3276.6,PLN
2255,Steven Davis,9528.13,USD
2256,Ashley Winters,5562.78,ILS
2257,Richard Soto,5773.64,CHF
2258,Erik Mcneil,7632.37,ZAR
2259,Laura Tate,7511.14,GBP
2260,Dawn Huffman,303.37,NZD
2261,Robert Smith,6635.75,NZD
2262,Lonnie Fisher,37.03,JPY
2263,Audrey Meyer,3937.14,INR
2264,Jennifer Rogers,7406.28,NOK
2265,Jonathan Davis,4750.84,SGD
2266,Grace Pittman,3495.52,CAD
2267,Alexis Pena,1638.1,CHF
2268,Travis Merritt,560.36,AUD
2269,Timothy Lawrence,8685.16,CHF
2270,Cindy Roberts,4913.26,KRW
2271,Kenneth Mitchell,8097.51,GBP
2272,Marcus Whitehead,8261.59,AUD
2273,Marcus Brennan,3350.18,HKD
2274,William Ramirez,1813.6,HKD
2275,Ryan Potter,9766.84,DKK
2276,Melissa Pitts,9017.5,JPY
2277,Robin Castillo,4478.95,AUD
2278,Kristen Anderson,4853.35,CHF
2279,Mrs. Angela Wade,287.51,PLN
2280,Shawn Smith,503.87,NZD
2281,Jordan Peterson,9231.48,CHF
2282,Richard Becker,1946.43,JPY
2283,Joseph Bowers,986.39,AUD
2284,Patrick Foster,5623.88,SGD
2285,Michael Jimenez,6554.42,SGD
2286,Taylor Morris,6035.22,BRL
2287,Matthew Lopez,9972.14,ILS
2288,Barbara Price,4414.38,CAD
2289,Mr. Matthew Garcia,4231.43,SGD
2290,Amy Lee,4416.16,HKD
2291,John Watson,4465.17,GBP
2292,Steven Sanders,2221.2,KRW
2293,Gregory Holmes,1434.46,INR
2294,Randall Perry,7712.94,DKK
2295,Peter Phillips,4923.09,HKD
2296,Beth Turner,7168.57,SEK
2297,Aaron Lee,1913.33,EUR
2298,Kimberly Wright,1935.32,BRL
2299,Deborah Robinson,2069.95,AUD
2300,Elizabeth Freeman,7579.31,NOK
2301,Kathleen Lewis,169.51,PLN
2302,Cristina Koch,7058.67,SGD
2303,Ricky Williams,9547.67,SGD
2304,Wanda Mann,2775.13,NZD
2305,Gregory Fox,1840.5,ILS
2306,Karen Howell,9664.18,NZD
2307,Pamela Mclean,4571.13,BRL
2308,Renee Durham,716.76,CHF
2309,Mark Collier,2488.87,KRW
2310,Tina Herrera,6396.6,ZAR
2311,Phillip Kelly,126.91,BRL
2312,Patrick Wagner,6636.81,ZAR
2313,Cheryl Garza,9637.93,USD
2314,Steven Taylor,3162.06,GBP
2315,Patrick Nguyen,9842.46,EUR
2316,Taylor Hopkins,9835.8,INR
2317,Jacob Hernandez,5708.59,AUD
2318,Mario Fisher,9986.56,AUD
2319,Suzanne Martin,8468.09,ILS
2320,Rick Anderson,5502.08,GBP
2321,Gary Callahan,9493.15,ILS
2322,Darryl Clark,303.5,SEK
2323,Courtney Spencer,1806.77,ZAR
2324,Kathryn Rodriguez,8942.62,EUR
2325,Zachary Duran,3594.82,NZD
2326,Brittany Burgess,9306.68,JPY
2327,Carlos Jensen,6109.38,USD
2328,Richard Zimmerman,5521.31,SEK
2329,Tyler Lewis,307.02,DKK
2330,David Wheeler,7949.95,NOK
2331,Andrew Peterson,2144.15,AUD
2332,Sarah Romero,4881.83,INR
2333,Matthew Henry,8117.5,CHF
2334,Robert Ramirez,8623.17,NZD
2335,Eric Wood,5048.46,MXN
2336,Denise Jones,2041.07,GBP
2337,Joshua Williams,1855.28,MXN
2338,David Merritt,7876.52,USD
2339,Amber Martin,9304.45,CAD
2340,Loretta Holt,103.1,PLN
2341,Marc Ramirez,2041.51,PLN
2342,Robert Arnold,7401.47,MXN
2343,Ann Smith,8831.36,USD
2344,Paul Valdez,8799.45,USD
2345,Hunter Edwards,131.94,BRL
2346,Amy Ellis,5173.38,CAD
2347,Lynn Sanders,2272.96,ILS
2348,Amanda James,2121.59,KRW
2349,Jean Parker,2578.96,KRW
2350,Russell Faulkner,9200.66,CHF
2351,Cheryl Oliver,9073.07,EUR
2352,Sarah Foster,5502.12,MXN
2353,John Watson,3195.72,NOK
2354,Jacqueline Moore,9833.21,USD
2355,Daniel Ortega,5598.64,EUR
2356,Lisa Thompson,141.23,ZAR
2357,Anthony Jones,8787.68,SEK
2358,Courtney Murphy,9859.48,PLN
2359,Steven Miller,2654.21,USD
2360,Steven Harris,5743.41,PLN
2361,Dr. Melissa Gray,331.14,MXN
2362,Anna Barnes,1184.31,ILS
2363,Dr. Chad Peterson MD,5540.73,ILS
2364,Jackie Bean,9311.27,BRL
2365,Susan Kemp,1590.44,INR
2366,James Martin,8239.65,INR
2367,Thomas White,3273.89,NOK
2368,Richard Perry,6521.26,BRL
2369,Stephanie Simpson,4900.78,CAD
2370,Allison Romero,4251.82,JPY
2371,Miss Samantha Smith,8462.6,NZD
2372,Tina Hoffman,7693.04,AUD
2373,Desiree Gilbert,1395.06,USD
2374,Lori Patterson,2643.64,EUR
2375,Ellen Cox,2312.94,ILS
2376,Eric Rodriguez,4483.69,GBP
2377,Martha Flynn,985.91,CHF
2378,Shirley Pearson,270.31,HKD
2379,Jamie Snyder,4378.61,DKK
2380,Frederick Brown,4994.42,DKK
2381,Cristina Franco,1598.3,EUR
2382,Mr. Francisco Hernandez,3408.77,MXN
2383,Gary Dickerson,7723.56,JPY
2384,Anna Taylor,5960.28,INR
2385,Jeffrey Dean,2784.75,DKK
2386,Kelly Martinez,8338.01,MXN
2387,James Huber Jr.,7716.6,SEK
2388,Michael Gomez,4739.88,SEK
2389,Richard Brown,2432.21,USD
2390,Alyssa Lester,5889.14,JPY
2391,Brian Meyer,1854.41,NZD
2392,Jacqueline Sharp,4270.74,HKD
2393,Shelby Wright,9514.78,SGD
2394,Vincent Fisher,8154.4,JPY
2395,Sherri Benson,1350.89,DKK
2396,Crystal Molina,842.58,JPY
2397,Monica Greene,1880.88,GBP
2398,Cassandra Ramos MD,5291.36,USD
2399,Carol Harmon,126.57,EUR
2400,Jennifer Mendez,5359.89,PLN
2401,Alan Ferguson,8759.81,NZD
2402,Troy Dean,8383.79,SEK
2403,Gabriel Wilson,7548.48,MXN
2404,Richard Johnson,499.82,GBP
2405,Bryan Chung,2394.52,SGD
2406,Tracy Harrison,7725.79,KRW
2407,Erika Murray,9408.58,MXN
2408,Samantha Neal,8843.75,AUD
2409,Jose Jones,987.96,HKD
2410,Monica Edwards,8819.09,CHF
2411,Daniel Ramirez,6805.59,NZD
2412,Tina Gordon,968.63,EUR
2413,Dennis Glover,9827.78,CHF
2414,Daniel Hayes,2448.48,SEK
2415,Jessica Snyder,9113.35,MXN
2416,Sherry Charles,2334.46,CAD
2417,Sarah Cooper,982.26,GBP
2418,Steve Allen,1677.04,SEK
2419,Brenda Johnson,2314.28,AUD
2420,Brian Martin,907.14,MXN
2421,Bradley Miles,8336.81,DKK
2422,Carol Dunlap,2716.05,HKD
2423,Rose Estrada,6045.53,CHF
2424,Bradley Alexander,1098.23,CHF
2425,Christine Hanna,1326.67,SEK
2426,Donald Nelson,6589.99,KRW
2427,Daniel Dunlap,3295.98,MXN
2428,Alexander Hughes,9409.52,KRW
2429,Brian George,392.18,DKK
2430,Dawn Rivera,5869.69,ILS
2431,Christopher Fuller,6090.54,USD
2432,Michael Hunt,2444.43,NOK
2433,Kevin Harper,9120.4,GBP
2434,Dawn Yoder,8577.3,PLN
2435,Gordon Wilson,6745.77,BRL
2436,Brian Smith,9560.26,INR
2437,Mrs. Veronica Wu,3896.37,USD
2438,Edward Bond,2276.02,SEK
2439,Larry Roberts,7292.54,SEK
2440,Sabrina Taylor,1392.99,SEK
2441,Matthew Deleon,2020.4,PLN
2442,Emily Schmidt,8082.3,ZAR
2443,Michaela Wright,5.12,DKK
2444,Katherine Norman,998.07,DKK
2445,Richard Bean,2381.34,USD
2446,Toni Trujillo,8854.21,JPY
2447,Paul Johnston,3104.16,BRL
2448,Kelly Martin,7454.53,CAD
2449,Jeremy Fields,4261.49,NZD
2450,Kathryn Peterson,757.76,PLN
2451,Dakota Long,6116.43,NZD
2452,Christopher Lopez,2695.11,DKK
2453,Rodney Gray,5939.05,KRW
2454,Theresa Walker,5673.82,BRL
2455,Matthew Hawkins,6783.68,SEK
2456,Nicole Howard,2255.84,JPY
2457,Joseph Ryan,6364.78,ILS
2458,Garrett Johnson,7512.32,SGD
2459,Taylor Ferguson,3720.52,CAD
2460,Summer Russell,1826.39,GBP
2461,Tiffany Harris,6355.03,SEK
2462,Gary Gates,5277.92,GBP
2463,Corey Henry,552.07,HKD
2464,Maria Huffman,2081.18,HKD
2465,Kevin Miller,6301.15,SEK
2466,Daniel Hooper,7589.63,NZD
2467,Ariel Bush,569.71,EUR
2468,Scott Meyer,4957.09,HKD
2469,Jeffrey Clark,9732.74,NZD
2470,Mark Collins,3661.3,NOK
2471,Matthew Richards,1223.38,SEK
2472,Mark Wilson,2343.0,CAD
2473,Stephanie Gaines,3783.3,AUD
2474,Tyler Dudley,4216.66,SGD
2475,Michael Acosta,4075.39,ILS
2476,Joel Stokes,1330.45,INR
2477,Adrian Hayden,5680.54,GBP
2478,James Warren,6928.92,SGD
2479,James Thornton,6573.31,AUD
2480,Aaron Campbell,2225.02,DKK
2481,John Thomas,1527.49,NZD
2482,Todd Chavez,1742.48,NOK
2483,Charles Woods,6681.0,AUD
2484,Kimberly Morgan,9188.77,USD
2485,Brett Foley,5029.59,ILS
2486,Deborah Day,6741.82,MXN
2487,Robert Alvarez,1952.84,GBP
2488,Michael Jenkins,6978.91,BRL
2489,Colleen Curtis,6596.41,AUD
2490,Timothy Gutierrez,7947.14,MXN
2491,Amber Miller,5907.09,SGD
2492,Debbie Ward,7090.58,ILS
2493,Jacqueline Fitzgerald,2636.48,AUD
2494,Brian Lee,9204.44,CHF
2495,Zachary Ramos,3035.51,NOK
2496,Emily Clark,2493.29,CAD
2497,Cory Alvarez,2896.98,KRW
2498,Timothy Greene,9353.34,NZD
2499,Jeff Brown,4907.28,JPY
2500,Bonnie Powell,801.65,ILS
2501,Jesse Gross,1977.0,ZAR
2502,Rodney Banks,6208.94,USD
2503,Nancy Daugherty,1170.11,INR
2504,Erin Goodman,2396.94,SEK
2505,Raymond Chang,754.52,DKK
2506,Edward Jones,2455.38,SEK
2507,Melanie Edwards,7904.14,ILS
2508,Nicholas Rollins,5312.9,BRL
2509,Christie Watkins,5167.0,NZD
2510,Susan Cervantes,1062.47,NZD
2511,Debra Crawford,697.06,NZD
2512,Jeffrey Castillo,6835.82,INR
2513,Laura Evans,7657.79,AUD
2514,Kathy Steele,7735.65,GBP
2515,Michael Potter,2425.67,MXN
2516,Kristen Forbes,2441.29,NZD
2517,Diamond Miller,6686.97,SEK
2518,Christopher Lee,9237.33,USD
2519,Kayla Dean,4547.27,PLN
2520,James Rogers,775.98,EUR
2521,David Norton,4238.45,ILS
2522,Paul Thomas,6461.08,CAD
2523,Michael Gutierrez,8874.55,BRL
2524,Nancy Coleman,8391.81,USD
2525,Laura Lee,7325.46,SEK
2526,Penny Delgado,8393.1,USD
2527,Denise Blair,8864.53,ZAR
2528,Michael Parks,827.74,KRW
2529,Susan Hernandez,8332.33,ILS
2530,Kylie Sullivan,3978.07,HKD
2531,Marcus Ramos,7149.31,KRW
2532,Kevin Bell,7966.71,GBP
2533,Emily Johnson,8203.24,JPY
2534,Melissa Thomas,5305.8,SEK
2535,Kyle Fitzgerald,2381.9,PLN
2536,Lisa Miller,847.7,KRW
2537,Karen Brown,8195.13,NOK
2538,Rebecca Thornton,6917.98,JPY
2539,Jessica Johnson,6874.22,NOK
2540,Samantha Benson,1024.94,JPY
2541,Michael Mcdaniel,5488.94,GBP
2542,Steve Harvey,446.92,MXN
2543,Courtney Johnson,7470.75,SGD
2544,Melissa Green,587.54,ZAR
2545,Jimmy Dyer,7247.83,NOK
2546,Wendy Holloway,7.54,BRL
2547,Julian Gray,9076.5,KRW
2548,Amanda Poole,1003.99,NOK
2549,Lisa Hall,6480.76,BRL
2550,Robert Young,902.58,CHF
2551,Mr. Charles Bass,818.57,KRW
2552,Jeffery Smith,9581.34,USD
2553,Ryan Barnes,2483.71,EUR
2554,Elizabeth Beasley,5551.43,SGD
2555,Cody Powell,6464.68,AUD
2556,David Morgan,296.4,CHF
2557,Deborah Ryan,2892.04,USD
2558,Melissa Brown,1415.14,INR
2559,Michael Mendoza,5096.02,CAD
2560,Kristi Bradley,8735.96,INR
2561,Angela Adkins MD,4741.14,JPY
2562,Beth Osborne,6848.34,EUR
2563,Arthur Johnson,9292.43,SGD
2564,Rachel Chang,5151.96,ZAR
2565,Renee Rose,7849.29,INR
2566,Michele Park,8850.41,MXN
2567,Krista Mcdonald,9701.35,CAD
2568,Stephanie Ward,1310.99,ZAR
2569,Joyce Burton,2978.31,DKK
2570,Jeremy Hansen,7990.72,DKK
2571,Kelly Moss,6845.14,CHF
2572,Mark White,1252.5,CAD
2573,Shane Craig,8962.94,MXN
2574,William Stafford,6928.73,DKK
2575,Anita Patel,7644.11,PLN
2576,Julie Hicks,749.54,AUD
2577,Scott Cruz,8508.79,BRL
2578,Geoffrey Russell,3473.07,CHF
2579,Maria Gregory,8879.22,JPY
2580,Maria Martin,3349.48,AUD
2581,Meghan Grant,6357.92,HKD
2582,Hayden Cooper,9606.16,ILS
2583,Kathleen Guerrero,2702.96,GBP
2584,Brian Allison,2683.62,MXN
2585,Lisa Rodriguez,4641.16,USD
2586,Richard Shepherd,934.69,ILS
2587,Valerie Myers,7156.71,BRL
2588,Patrick Hansen,9114.95,ZAR
2589,Joshua Miller,9426.41,HKD
2590,Amber Scott,4791.31,AUD
2591,Misty Smith,7299.53,MXN
2592,Paul Hansen,9091.22,PLN
2593,Travis Contreras,514.36,PLN
2594,Donald Vargas,8110.41,NZD
2595,Eric Mack,9079.27,CAD
2596,Anna Lynch,6615.56,SEK
2597,Sara Parker,1459.46,NOK
2598,Debra West,8410.75,GBP
2599,David Adkins,2820.01,GBP
2600,Martin Johnson,3363.8,USD
2601,Matthew Morales,5920.84,USD
2602,Ariel Bishop,3311.45,ILS
2603,Noah Quinn,6347.75,AUD
2604,Vincent Morris,8845.7,EUR
2605,Matthew Moreno,4238.65,MXN
2606,Mr. Cameron Robertson,9074.37,KRW
2607,Dan Strong,8256.03,USD
2608,Albert Fields,9007.41,CHF
2609,Alexandria Jackson,7620.09,SEK
2610,Chad Glenn,7502.06,CAD
2611,Lisa Farley,5508.65,SGD
2612,Shannon Powell,2557.28,EUR
2613,Kathleen Benjamin,5290.48,ZAR
2614,Andrew Austin,9962.27,USD
2615,Anthony Newton,5279.85,ZAR
2616,Ian Lane,3678.12,BRL
2617,Cynthia Reese,5628.54,EUR
2618,Paul Carpenter,8871.91,NZD
2619,Keith Perkins,5412.33,NZD
2620,Christine Duncan,688.27,MXN
2621,Matthew Smith,5028.99,NOK
2622,Deborah Ortiz,1540.03,HKD
2623,Brandon Moon,6047.83,SEK
2624,Wayne Allen,1793.8,USD
2625,Richard Davis,3628.85,ILS
2626,Michele Leon,1017.81,USD
2627,Kaitlyn Tapia,8010.12,KRW
2628,Lisa Weber,1386.51,USD
2629,Matthew Serrano,3815.95,NZD
2630,Dr. Todd Brandt MD,853.83,SEK
2631,Brian English,5216.93,DKK
2632,Brandy Greene,7683.0,SGD
2633,Maria Nolan,8369.51,GBP
2634,William Acevedo,8759.4,AUD
2635,Marie Sampson,450.4,INR
2636,Larry Beard,954.78,SEK
2637,Christopher Johnson,9331.12,SEK
2638,Heather Brown,265.03,ILS
2639,Andrew Hamilton,148.79,PLN
2640,Melissa Norman,8540.88,MXN
2641,Elizabeth Hopkins,4036.29,INR
2642,Diane Rivers,8815.46,AUD
2643,Patricia Carter,1610.5,GBP
2644,James Arnold,1243.56,MXN
2645,Ariana Jackson,1040.73,SEK
2646,Katherine Chandler,1518.18,KRW
2647,Janice Hess,796.06,KRW
2648,Dean Jones,4892.86,USD
2649,Juan Savage,1270.07,NOK
2650,Robert Guerrero,8632.14,USD
2651,Robert Martinez,135.84,GBP
2652,Ashley Baker,6418.7,NOK
2653,Carol Smith,9397.93,CAD
2654,Sarah White DVM,3261.73,CHF
2655,Kimberly Newton,1605.77,DKK
2656,Robin Robinson,4468.83,ZAR
2657,Robert Carpenter,5232.84,HKD
2658,Elizabeth Wallace,5343.92,CHF
2659,Gloria Dudley,2671.7,JPY
2660,Samuel Graham,6131.67,NZD
2661,Molly Short,2737.87,GBP
2662,Alicia Johnson,5932.5,ZAR
2663,Evelyn Nelson,6060.11,USD
2664,Thomas Thomas,5470.65,CHF
2665,Diana Houston,5165.14,SGD
2666,Jerry Pierce,7345.05,ILS
2667,Mason Finley,6380.67,BRL
2668,Paul Maxwell,7045.72,SGD
2669,Peter Woods,8801.65,GBP
2670,George Sanchez,156.1,SEK
2671,Sean Bowman,2425.77,USD
2672,Claudia Luna,6368.17,NOK
2673,Brandy Carlson,6088.26,AUD
2674,Meredith Jackson,6449.02,GBP
2675,Lauren Norton,5973.07,HKD
2676,Dr. Daniel Norman,1485.76,INR
2677,George Bowen,2691.96,GBP
2678,Robert Buchanan,1292.28,AUD
2679,Hannah Sanchez,6787.1,BRL
2680,Dennis Sutton,9166.29,BRL
2681,Jessica Jackson,389.59,BRL
2682,David Tanner,2690.64,HKD
2683,Donna Long,3914.99,ILS
2684,Amy Allen,6595.33,SEK
2685,Jane Smith,3411.61,ZAR
2686,Michael Livingston,2806.0,INR
2687,Christian George,1896.32,ILS
2688,Logan Watson,3454.49,PLN
2689,William Smith,9790.56,SGD
2690,Kristopher Sawyer,3004.81,BRL
2691,Dr. Robert Young PhD,8576.22,INR
2692,Charles Murillo,9816.95,CAD
2693,Dr. Theodore Estrada,6012.66,GBP
2694,Jonathan Gonzales,3667.94,PLN
2695,Laura Mcclain,7827.17,AUD
2696,Vernon Richardson,5074.64,SEK
2697,James Bishop,112.45,EUR
2698,Michelle Lewis,5552.83,DKK
2699,Cindy Harper,1794.72,PLN
2700,Michael Horn,1554.03,SEK
2701,Randy Andrade,6184.49,EUR
2702,Phyllis Sims,5094.97,USD
2703,Patrick Smith,606.24,BRL
2704,Lisa Jones,9684.73,ILS
2705,Kathryn White,9050.76,GBP
2706,Jessica Morales,18.4,ILS
2707,Michelle Ball,1343.51,MXN
2708,Benjamin Ford,5853.58,CHF
2709,Robert Lopez,5751.71,SEK
2710,Erika Green,1650.35,NZD
2711,Christie Smith,9389.56,SGD
2712,Patrick Smith,2364.33,SEK
2713,Nathan Jacobs,6415.15,USD
2714,Casey Garcia,2622.05,SGD
2715,William Santos,757.15,HKD
2716,Alexandra Brewer,56.19,CHF
2717,Veronica Richardson,8953.41,HKD
2718,Nicolas Brown,3728.65,JPY
2719,Lindsay Sanders,5295.3,ILS
2720,Diane Mayer,3489.61,CAD
2721,Ashlee Copeland,3599.43,MXN
2722,Daryl Simmons,2142.96,EUR
2723,Ebony Marshall,8193.41,AUD
2724,Thomas Jordan,2740.98,MXN
2725,Sabrina Vazquez,8805.85,INR
2726,Robert Terry,6676.39,AUD
2727,Diana Taylor,5798.22,SGD
2728,Steve Thomas,5020.22,PLN
2729,Maria Maldonado,8272.56,ILS
2730,David Gonzalez,5541.12,DKK
2731,Denise Weaver,1792.55,NOK
2732,Hannah Mayo,8870.12,NZD
2733,Jacob Hogan,5878.52,GBP
2734,Brian Vaughan,5711.11,GBP
2735,Manuel Wyatt,4385.7,AUD
2736,Victoria Lopez,1113.98,ILS
2737,Cynthia Logan,278.94,HKD
2738,Susan Juarez,3644.67,CAD
2739,Deborah Smith,2768.71,USD
2740,Regina Wright,9007.25,NOK
2741,Samantha Lewis,5075.96,DKK
2742,Kathryn Smith,2484.83,INR
2743,Samantha Williamson,7540.48,BRL
2744,Nicholas Avery,4998.44,CAD
2745,Shannon Lee,8445.76,EUR
2746,Daniel Stuart,1939.52,ILS
2747,Carrie Reynolds,6117.63,KRW
2748,Aaron Gonzales,6752.79,SEK
2749,Richard Mcconnell,8919.19,SEK
2750,Leah Martin,8917.23,DKK
2751,Lori Rose,1371.18,EUR
2752,Ryan Morgan,8995.15,CHF
2753,Susan Velazquez,3264.28,ILS
2754,Cindy Duncan,6214.74,JPY
2755,Michael Marsh,2095.38,ILS
2756,Cindy Jones,1389.93,SEK
2757,Jennifer Baker,9141.33,KRW
2758,Priscilla Mitchell,2538.64,AUD
2759,Benjamin Jordan,132.07,USD
2760,Sarah James,3314.08,SGD
2761,Peter Velasquez,1717.91,INR
2762,Alexander Alexander,298.21,KRW
